id,has_stacktrace,has_steps,has_code,redundancy,ambiguity,completeness_score,specificity_score,info_richness,clarity_score
Csv-13,False,False,False,0.2248280495405197,0.0,,,2.1686275396109296,0.8692588128489086
Math-19,False,False,False,0.1326794177293777,0.0075757575757575,,,1.9989940248469917,0.8294900230488834
Closure-65,False,False,False,0.3004347085952759,0.0,,,0.7572502985020384,0.8252923043036076
Compress-16,True,False,False,0.3109239339828491,0.0068965517241379,,,2.3068797807536896,0.7342076562834772
Cli-18,False,False,False,0.2812584042549133,0.0,,,1.8086356997671984,0.8364436388446199
Jsoup-5,True,False,True,0.3305850923061371,0.0,,,2.6769215762901517,0.8077593631627003
Compress-41,True,False,False,0.2207639962434768,0.0,,,2.3119690199851366,0.8716221262957253
Closure-32,False,False,False,0.3004347085952759,0.0,,,0.7572502985020384,0.8252923043036076
Time-19,False,False,False,0.3130371868610382,0.0083333333333333,,,2.0575695104374097,0.7152735585252507
JacksonDatabind-93,True,False,True,0.3342227041721344,0.0,,,2.7739755038837646,0.8056440323811214
Math-2,False,False,True,0.2447015196084976,0.0054945054945054,,,2.358361683326696,0.7899942417888383
Lang-4,False,False,False,0.2608097791671753,0.0051413881748071,,,2.4382271037920398,0.7849784279788296
Math-58,True,False,True,0.1794427335262298,0.0,,,2.659360393505128,0.8956511162428242
Closure-24,False,False,False,0.3004347085952759,0.0,,,0.7572502985020384,0.8252923043036076
Closure-9,False,False,False,0.3004347085952759,0.0,,,0.7572502985020384,0.8252923043036076
Mockito-10,True,False,True,0.3194953203201294,0.0,,,2.3912201675431963,0.8142082469102963
JacksonDatabind-85,False,False,False,0.3044639527797699,0.0,,,2.0731005409040586,0.8229492329249295
JacksonDatabind-1,True,False,True,0.2926000654697418,0.0,,,2.7732447840300107,0.8298482773916223
Closure-73,False,False,False,0.3004347085952759,0.0,,,0.7572502985020384,0.8252923043036076
Math-74,True,False,True,0.2301676273345947,0.002932551319648,,,2.907900978663136,0.8300164477618723
Lang-36,False,False,True,0.3371458053588867,0.0140845070422535,,,2.146717703148146,0.6303833022115999
