feature,importance
num_steps_y,0.07021129106711567
redundancy,0.06520359267061421
flesch_reading_ease,0.06211623699025234
gunning_fog,0.058822060853666806
n_words,0.05619924474477276
coleman_liau_index,0.05528117662445828
clarity_score,0.048442418909762947
description_chars,0.04843326046060902
info_richness,0.04804070383135414
n_tokens,0.04697486272343578
automated_readability_index,0.04661113959748773
smog_index,0.04329112183919387
structural_completeness,0.03902520379089104
causal_density,0.0379578259086389
n_sentences,0.03620574561122632
modal_density,0.03615281326028655
summary_chars,0.03503673541548438
num_versions,0.027091085172691768
num_causal_markers,0.02363804660661263
ambiguity,0.022177697414730736
temporal_density,0.014849907882661124
num_modal_verbs,0.014559087774691459
num_temporal_markers,0.014490201137943278
num_exception_types,0.011194077110005727
context_richness,0.010499029555777507
num_negative_modals,0.008589773679528265
num_caused_by,0.0067598429486217075
stacktrace_depth,0.005517635350419156
num_browser_mentions,0.003196664192433948
num_os_mentions,0.003105658850449046
num_steps_x,0.00011600866443175043
steps_with_objects,0.0001138088088775398
num_env_mentions,6.408363542900185e-05
completeness_score,3.0311761566058173e-05
avg_step_length,1.645153878400671e-06
potential_vague_steps,1.1061099547951946e-16
behavior_verb_density,0.0
potential_ambiguous_steps,0.0
steps_with_specific_actions,0.0
behavior_verb_count,0.0
specificity_score,0.0
overall_score,0.0
num_hq_steps,0.0
