feature,importance
automated_readability_index,0.07725690138271149
smog_index,0.07040208967859597
n_words,0.06517610354265782
coleman_liau_index,0.06306110589754192
gunning_fog,0.0615387405517632
info_richness,0.05987185431366804
description_chars,0.05973554449265776
n_tokens,0.05623375893027102
summary_chars,0.05158681655791659
flesch_reading_ease,0.04165721602634733
num_steps_y,0.041492277461306015
clarity_score,0.04141186035118851
redundancy,0.04069710973672909
n_sentences,0.03521739549549571
causal_density,0.03224157073764621
modal_density,0.02468862873502854
num_causal_markers,0.023976139829920636
num_versions,0.023623410863413016
structural_completeness,0.021320090667837847
ambiguity,0.018171362593142976
context_richness,0.01688950559657437
temporal_density,0.014150531010533832
num_exception_types,0.012697080096319764
num_modal_verbs,0.012079122279914856
num_temporal_markers,0.009687327046586083
num_negative_modals,0.006256318622895062
stacktrace_depth,0.005202782960876876
avg_step_length,0.0028466214275226936
num_browser_mentions,0.002833900241965834
num_os_mentions,0.002665925142795396
num_steps_x,0.0015782657522665857
num_env_mentions,0.0011294676068978144
completeness_score,0.0008667609882866262
steps_with_objects,0.000653591122517462
potential_vague_steps,0.0005925589481876037
num_caused_by,0.0005102633100194962
behavior_verb_density,0.0
behavior_verb_count,0.0
steps_with_specific_actions,0.0
specificity_score,0.0
overall_score,0.0
num_hq_steps,0.0
potential_ambiguous_steps,0.0
