feature,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_corrected,pearson_p_significant,spearman_p_corrected,spearman_p_significant,abs_pearson,abs_spearman
flesch_reading_ease,0.16760428991675835,1.1137732737732015e-06,0.1940383382612719,1.5821390693991996e-08,4.677847749847446e-05,True,6.803197998416558e-07,True,0.16760428991675835,0.1940383382612719
causal_density,0.17215456517737848,5.59783653213246e-07,0.1773008553056152,2.514975268929709e-07,2.4070697088169575e-05,True,1.0562896129504777e-05,True,0.17215456517737848,0.1773008553056152
summary_chars,0.15879621018100482,4.006449311922002e-06,0.16322184161041753,2.123686883493128e-06,0.00016426442178880208,True,8.707116222321824e-05,True,0.15879621018100482,0.16322184161041753
num_causal_markers,0.12017254922323611,0.0005014763912224586,0.16174377500338438,2.630155647110623e-06,0.019557579257675883,True,0.00010520622588442492,True,0.12017254922323611,0.16174377500338438
modal_density,0.07533900459177995,0.029491267851904937,0.12643271826832478,0.00024958959436132327,0.8971396633104518,False,0.009733994180091608,True,0.07533900459177995,0.12643271826832478
n_tokens,0.09111682248551894,0.008426558582734516,0.12235938703404163,0.00039445081557500024,0.30117154502495896,False,0.01498913099185001,True,0.09111682248551894,0.12235938703404163
num_modal_verbs,0.07192963521920318,0.037701650929374726,0.12109004600681154,0.00045364586493248395,1.0,False,0.016784897002501905,True,0.07192963521920318,0.12109004600681154
info_richness,0.13087145567949848,0.00014921865402855105,0.11773404067583808,0.0006523695130862937,0.005968746161142042,True,0.023485302471106573,True,0.13087145567949848,0.11773404067583808
temporal_density,0.0715857653864181,0.03862841193334243,0.1175031939229561,0.0006686502734174923,1.0,False,0.023485302471106573,True,0.0715857653864181,0.1175031939229561
n_words,0.07426544097641692,0.031892903607563465,0.11739459793437121,0.0006764388485284369,0.9248942046193405,False,0.023485302471106573,True,0.07426544097641692,0.11739459793437121
num_temporal_markers,0.0813528810113064,0.018714018702635678,0.11468375003763175,0.0009003718561250336,0.6175626171869774,False,0.029712271252126107,True,0.0813528810113064,0.11468375003763175
has_enumeration,0.11332025806420365,0.0010372992396184863,0.11332025806420375,0.001037299239618468,0.03941737110550248,True,0.03319357566779098,True,0.11332025806420365,0.11332025806420375
description_chars,0.06877303773874031,0.04695937168766068,0.1128173726542281,0.001092481564889439,1.0,False,0.03386692851157261,True,0.06877303773874031,0.1128173726542281
num_steps_y,0.05652717036855969,0.10261879541994313,0.10583593736484849,0.002196453556030257,1.0,False,0.06589360668090771,False,0.05652717036855969,0.10583593736484849
n_sentences,0.028291504902647795,0.4142368363748511,0.09458271569609789,0.00623544607313623,1.0,False,0.18082793612095066,False,0.028291504902647795,0.09458271569609789
context_richness,0.08059337978399184,0.0198507585607025,0.08539154537815248,0.01357494339544077,0.63522427394248,False,0.38009841507234154,False,0.08059337978399184,0.08539154537815248
num_browser_mentions,0.09120129669761282,0.008365876250693304,0.08459067401341243,0.014481801550355947,0.30117154502495896,False,0.3910086418596106,False,0.09120129669761282,0.08459067401341243
has_version_info,0.08363612178580358,0.01563199576180606,0.08363612178580357,0.015631995761805916,0.531487855901406,False,0.4064318898069538,False,0.08363612178580358,0.08363612178580357
structural_completeness,0.07202291446408031,0.03745353496138653,0.07863390504470792,0.023065402742905035,1.0,False,0.5766350685726259,False,0.07202291446408031,0.07863390504470792
