feature,importance
flesch_reading_ease,0.07821341563539057
gunning_fog,0.07649945240106447
info_richness,0.06607432145974826
clarity_score,0.05794451747681283
coleman_liau_index,0.055990867381825675
smog_index,0.05496113429627559
redundancy,0.05475890372685975
automated_readability_index,0.04975136880991196
summary_chars,0.04712775070900605
description_chars,0.04644585621387247
n_tokens,0.04584631758905194
n_words,0.04232414862710005
modal_density,0.03531265695909569
n_sentences,0.033166192399213215
num_steps_y,0.03292477856217427
causal_density,0.02876969498680786
num_versions,0.026412734395847758
num_modal_verbs,0.026092906733951416
context_richness,0.01964172047526898
ambiguity,0.0194851492389593
num_causal_markers,0.018016408595591556
structural_completeness,0.016548246436717214
temporal_density,0.016201214439542925
num_exception_types,0.014568265272400889
num_temporal_markers,0.00856653228148078
num_negative_modals,0.005996241188802619
stacktrace_depth,0.004801670155415319
num_browser_mentions,0.004016232368928583
num_os_mentions,0.003651695440619858
num_env_mentions,0.0031565185132419716
num_steps_x,0.0017447797476241953
avg_step_length,0.0014233859275774444
num_caused_by,0.0012361594033964973
completeness_score,0.001187364525742741
steps_with_objects,0.0009600889779878815
potential_vague_steps,0.00018130864669141592
behavior_verb_density,0.0
behavior_verb_count,0.0
potential_ambiguous_steps,0.0
specificity_score,0.0
overall_score,0.0
steps_with_specific_actions,0.0
num_hq_steps,0.0
