project,bug_id,score_FlexFL,success_FlexFL,score_BRaIn,success_BRaIn,score_bluir,success_bluir,score_buglocator,success_buglocator,score_locus,success_locus,score_any,y_any
JxPath,14,-0.6542699125219368,0,0.038699505091851716,1,0.6025734468319063,1,0.2972121068194242,1,-0.2652727267829064,1,0.9449021083011759,1
Mockito,17,-3.1474167669984,0,-2.1194101081519965,0,-1.069983427276335,0,-1.6674039869827864,1,-1.0299781815769324,1,-5.354046827003489,1
Cli,5,0.16429672581889562,1,0.9156911417457348,0,0.8303377088664331,1,1.2553549708967435,0,0.024322060526394643,1,1.0296412632132395,1
Codec,14,0.6259991513754418,1,0.5749815398093965,0,1.2251167223488646,1,1.3422919197456054,0,0.5800457372429406,0,2.8391111404248863,1
Jsoup,16,-0.5377913095433766,1,-0.21008909602161854,1,-0.6643954489940445,1,-0.02853145104812594,1,0.08665325013663433,1,-0.39763930889343646,1
Math,99,-0.5503632665214613,1,-0.6750983656596865,1,-0.007401675684835705,1,-0.44982459163111527,1,-0.2938587263750984,0,-0.3529191483080399,1
Csv,9,0.7747568372354424,1,1.1021624030220167,1,1.0626899182721126,1,1.7205751651584096,1,0.334021207184821,1,3.2377103321185947,1
Closure,152,-2.3506610074353196,0,-2.9094194350712175,1,-2.3158885462725003,0,-3.490740252172725,0,-1.4189037948546854,0,-7.0142887132135225,1
Closure,15,-1.2964192964281944,0,-2.1183966341625164,0,-1.6810709229630105,0,-2.6345204534250604,0,-0.8730808349684108,0,-4.990549320945911,0
Cli,13,1.4687287540005352,0,2.1773287191475825,1,1.8593946708995914,0,2.125569516744364,1,1.1491044490449203,0,4.734487503354601,1
Closure,146,-1.8344260647734068,0,-2.120619521029024,0,-1.4953842368020778,0,-1.9151614284451248,0,-1.0498004999803392,0,-4.431971256583673,0
Math,66,0.2814133536931211,1,-0.0635197118908517,0,1.236944122897017,1,0.6650572561397501,1,0.5786572745245918,0,2.281594835175636,1
Math,72,-0.4543376698140762,0,-1.047079519514954,0,0.4761562234770021,1,-0.5686908147567633,1,0.33056701396466737,0,2.4972086319648135,1
Closure,29,-0.9536928745040477,0,-2.877419033236424,0,-1.9672026087749261,0,-2.62953553376399,0,-1.0172107379196482,0,-5.142813459566829,0
Lang,12,1.623855220930092,1,2.408753655269256,0,1.5336520127196112,0,2.04235151435044,1,0.9828659153697182,1,3.703285545986395,1
JacksonDatabind,81,-0.7929871482517922,0,-1.6565172577048026,0,-1.1673723971530607,1,-1.317049833957021,0,-0.44521481864514834,0,-0.8317655878924028,1
Time,19,0.21644704352786862,1,1.2695496665140251,1,1.1363097359351064,1,0.2307834465657993,1,0.20736941651639623,1,1.3688387362260659,1
JacksonDatabind,95,-0.7521348669887394,1,-1.105241499302494,0,-1.4376158922962434,1,-1.0231104015701908,1,-1.0178558647652427,1,-1.5527813689793961,1
