bug_id,dataset,bertscore_max,bertscore_mean,bertscore_min,coherence_momentum,outlier_score,td_alpha_ratio,td_automated_readability_index,td_coleman_liau_index,td_contains_lorem ipsum,td_dependency_distance_mean,td_dependency_distance_std,td_doc_length,td_duplicate_line_chr_fraction,td_duplicate_ngram_chr_fraction_10,td_duplicate_ngram_chr_fraction_5,td_duplicate_ngram_chr_fraction_6,td_duplicate_ngram_chr_fraction_7,td_duplicate_ngram_chr_fraction_8,td_duplicate_ngram_chr_fraction_9,td_duplicate_paragraph_chr_fraction,td_entropy,td_first_order_coherence,td_flesch_kincaid_grade,td_flesch_reading_ease,td_gunning_fog,td_lix,td_mean_word_length,td_n_characters,td_n_sentences,td_n_stop_words,td_n_tokens,td_n_unique_tokens,td_per_word_perplexity,td_perplexity,td_pos_prop_ADJ,td_pos_prop_ADP,td_pos_prop_ADV,td_pos_prop_AUX,td_pos_prop_CCONJ,td_pos_prop_DET,td_pos_prop_INTJ,td_pos_prop_NOUN,td_pos_prop_NUM,td_pos_prop_PART,td_pos_prop_PRON,td_pos_prop_PROPN,td_pos_prop_PUNCT,td_pos_prop_SCONJ,td_pos_prop_SYM,td_pos_prop_VERB,td_pos_prop_X,td_prop_adjacent_dependency_relation_mean,td_prop_adjacent_dependency_relation_std,td_proportion_bullet_points,td_proportion_ellipsis,td_proportion_unique_tokens,td_rix,td_second_order_coherence,td_sentence_length_mean,td_sentence_length_median,td_sentence_length_std,td_smog,td_syllables_per_token_mean,td_syllables_per_token_median,td_syllables_per_token_std,td_symbol_to_word_ratio_#,td_token_length_mean,td_token_length_median,td_token_length_std,td_top_ngram_chr_fraction_2,td_top_ngram_chr_fraction_3,td_top_ngram_chr_fraction_4
Csv-13.json,Defects4J,0.7726384401321411,0.7685867150624593,0.7664164900779724,0.17622065544128418,1.2461150884628296,0.6389776357827476,21.88310344827586,20.846590038314172,0.0,3.075108553912902,0.7890815764411113,313.0,0.03909138932910724,0.0,0.044374009508716325,0.0,0.0,0.0,0.0,0.0,5.420598634857351,0.5079984739422798,11.316969348659004,60.4124655172414,13.351877394636018,55.21877394636016,5.527156549520766,1386.0,10.0,76.0,261.0,162.0,0.7220906776352283,226.01438209982646,0.025559105431309903,0.04153354632587859,0.009584664536741214,0.06389776357827476,0.0,0.04792332268370607,0.0,0.14057507987220447,0.03514376996805112,0.01597444089456869,0.038338658146964855,0.14376996805111822,0.134185303514377,0.019169329073482427,0.022364217252396165,0.08945686900958466,0.009584664536741214,0.42661711574755057,0.05234291151175859,0.0,0.0,0.6206896551724138,7.6,0.35641650995239615,26.1,27.0,13.823530663329105,11.003577315987393,1.417624521072797,1.0,1.0273630404438254,0.0,6.425287356321839,5.0,7.411752369938462,0.01901743264659271,0.004754358161648178,0.0
Math-19.json,Defects4J,0.746691107749939,0.7425557971000671,0.7377771139144897,0.18300412595272064,1.200876235961914,0.6045454545454545,26.034945652173917,27.81195652173913,0.0,2.7709025655716832,1.2605739573554762,220.0,0.0609597924773022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0451294364108286,0.4849576417888914,11.272391304347824,55.210652173913076,13.982608695652175,57.78260869565217,6.55,1036.0,8.0,40.0,184.0,132.0,0.09551250382689168,21.01275084191617,0.05,0.06818181818181818,0.004545454545454545,0.022727272727272728,0.004545454545454545,0.031818181818181815,0.0,0.14545454545454545,0.045454545454545456,0.004545454545454545,0.013636363636363636,0.18181818181818182,0.11363636363636363,0.013636363636363636,0.04090909090909091,0.05909090909090909,0.01818181818181818,0.4135010822510823,0.1614313790222299,0.0,0.0,0.717391304347826,8.0,0.24720254928494492,23.0,21.5,14.966629547095765,12.602617957971052,1.516304347826087,1.0,1.113042947520254,0.0,7.635869565217392,5.0,8.461101294360065,0.005836575875486381,0.005836575875486381,0.0
Closure-65.json,Defects4J,0.8244315981864929,0.8194592595100403,0.8154457211494446,1.0,0.9932227730751038,0.8333333333333334,5.905000000000001,9.646666666666668,0.0,1.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05298664906710747,,6.416666666666668,59.745000000000005,9.066666666666666,22.666666666666664,5.166666666666667,31.0,1.0,1.0,6.0,6.0,0.17573592793231638,1.0544155675938982,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,,6.0,6.0,0.0,,1.6666666666666667,1.5,0.7453559924999299,0.0,5.166666666666667,5.0,3.0230595245361758,0.0,0.0,0.0
Compress-16.json,Defects4J,0.7294698357582092,0.7264513174692789,0.7229747176170349,0.41193658113479614,1.2034868001937866,0.5870445344129555,29.272343966712896,28.121941747572816,0.0,2.7618429189857765,1.371762877329542,247.0,0.03832752613240418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8918781225354273,0.4037022838989894,13.071608876560337,53.761116504854385,17.40249653259362,66.32177531206658,6.538461538461538,1159.0,7.0,38.0,206.0,143.0,0.07298435221042453,18.02713499597486,0.02834008097165992,0.05263157894736842,0.024291497975708502,0.024291497975708502,0.004048582995951417,0.03643724696356275,0.0,0.10931174089068826,0.05263157894736842,0.012145748987854251,0.004048582995951417,0.1902834008097166,0.12550607287449392,0.012145748987854251,0.02834008097165992,0.08502024291497975,0.020242914979757085,0.4292826221397649,0.17954675325270691,0.0,0.0,0.6941747572815534,10.857142857142858,0.19514554366469383,29.428571428571427,29.0,18.806208267158883,14.756829357015494,1.4563106796116505,1.0,0.9324432779450849,0.0,7.640776699029126,5.0,8.47137311795052,0.005226480836236934,0.005226480836236934,0.0
Cli-18.json,Defects4J,0.7331785559654236,0.7305121620496114,0.7286868095397949,0.22740407288074493,1.1851896047592163,0.5081967213114754,31.698749999999997,27.232777777777773,0.0,3.5761293373938723,0.26846341544505337,183.0,0.08573853989813243,0.0,0.13412563667232597,0.06281833616298811,0.06281833616298811,0.0,0.0,0.029711375212224108,2.1387123962709,0.8506679534912109,15.822222222222226,45.74500000000002,18.288888888888888,72.80555555555556,6.092896174863388,772.0,4.0,20.0,144.0,101.0,0.046385250076420616,8.488500763984973,0.02185792349726776,0.0273224043715847,0.01092896174863388,0.0273224043715847,0.0,0.0273224043715847,0.0,0.09836065573770492,0.0546448087431694,0.00546448087431694,0.00546448087431694,0.18579234972677597,0.18032786885245902,0.01092896174863388,0.03278688524590164,0.07650273224043716,0.00546448087431694,0.4877780084902178,0.030055076900717292,0.011764705882352941,0.0,0.7013888888888888,13.25,0.8742873668670654,36.0,37.5,6.442049363362563,13.81666964889586,1.4722222222222223,1.0,0.8493824917455919,0.0,7.458333333333333,5.0,7.9064627222151485,0.012733446519524618,0.007640067911714771,0.0
Jsoup-5.json,Defects4J,0.78672856092453,0.7853626012802124,0.7828568816184998,0.412845641374588,1.1527540683746338,0.67578125,21.389087694483734,26.59782178217822,0.0,3.2798147626915193,2.6997158420910443,256.0,0.000580046403712297,0.07424593967517401,0.2122969837587007,0.13109048723897912,0.13109048723897912,0.13109048723897912,0.07424593967517401,0.0,5.640205771815953,0.5542613716366199,14.454964639321076,17.126633663366334,14.286280056577088,45.61669024045262,6.17578125,1580.0,14.0,61.0,202.0,117.0,1.0996900059736154,281.52064152924555,0.05859375,0.0546875,0.0078125,0.0390625,0.01171875,0.04296875,0.0,0.16796875,0.03125,0.0078125,0.03125,0.11328125,0.203125,0.03125,0.0078125,0.0703125,0.02734375,0.45253069818777575,0.09293507214357138,0.0,0.0,0.5792079207920792,4.5,0.5240686237812042,14.428571428571429,10.5,14.753761194615938,13.140968706690074,2.0693069306930694,1.0,2.0573819071174277,0.011235955056179775,7.5594059405940595,5.0,9.211966799786067,0.013921113689095127,0.016241299303944315,0.060904872389791184
Compress-41.json,Defects4J,0.7539308667182922,0.7527759671211243,0.7515377402305603,0.2496560513973236,1.1651932001113892,0.5502183406113537,24.422095959595964,27.721818181818175,0.0,2.5335034965195353,1.110266245019339,229.0,0.04423592493297587,0.0,0.17024128686327078,0.11126005361930295,0.04691689008042895,0.0,0.0,0.0,3.251640121576607,0.39206524461042136,10.138939393939399,57.20202020202021,13.276767676767676,59.89646464646464,6.131004366812227,1076.0,9.0,37.0,176.0,116.0,0.1128064363193134,25.83267391712277,0.048034934497816595,0.026200873362445413,0.017467248908296942,0.03056768558951965,0.013100436681222707,0.039301310043668124,0.0,0.10480349344978165,0.05240174672489083,0.008733624454148471,0.017467248908296942,0.14847161572052403,0.18340611353711792,0.008733624454148471,0.03056768558951965,0.07423580786026202,0.017467248908296942,0.3727734299302722,0.14783752981251308,0.0,0.0,0.6590909090909091,7.888888888888889,0.2294141021224537,19.555555555555557,16.0,14.67508176097694,12.457975602129121,1.5340909090909092,1.0,1.1426530495892167,0.0,7.659090909090909,5.0,8.225357637480744,0.03485254691689008,0.006032171581769437,0.0
Closure-32.json,Defects4J,0.8244315981864929,0.8194592595100403,0.8154457211494446,1.0,0.9932227730751038,0.8333333333333334,5.905000000000001,9.646666666666668,0.0,1.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05298664906710747,,6.416666666666668,59.745000000000005,9.066666666666666,22.666666666666664,5.166666666666667,31.0,1.0,1.0,6.0,6.0,0.17573592793231638,1.0544155675938982,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,,6.0,6.0,0.0,,1.6666666666666667,1.5,0.7453559924999299,0.0,5.166666666666667,5.0,3.0230595245361758,0.0,0.0,0.0
Time-19.json,Defects4J,0.7836652398109436,0.7817012071609497,0.7793328762054443,0.3783048987388611,1.2579951286315918,0.42748091603053434,16.79845622119816,14.2247311827957,0.0,4.839277545615573,5.499539743590477,262.0,0.021312872975277068,0.08695652173913043,0.340153452685422,0.32821824381926684,0.30605285592497866,0.26342710997442453,0.23955669224211423,0.0,5.9439717575411315,0.31981762797416496,12.853502304147465,50.2359677419355,15.789861751152074,51.3026113671275,4.049618320610687,1049.0,7.0,42.0,186.0,94.0,1.4559043497740196,381.4469396407931,0.04961832061068702,0.026717557251908396,0.022900763358778626,0.030534351145038167,0.003816793893129771,0.04198473282442748,0.0,0.09923664122137404,0.1946564885496183,0.0,0.015267175572519083,0.07251908396946564,0.23282442748091603,0.007633587786259542,0.061068702290076333,0.04580152671755725,0.0,0.3955793368268217,0.07640914050802897,0.0,0.08333333333333333,0.5053763440860215,6.571428571428571,0.2742642529308796,26.571428571428573,17.0,25.34255113360105,13.707050652182112,1.532258064516129,1.0,1.1413688527964518,0.006211180124223602,5.295698924731183,4.0,5.4034718822690255,0.029838022165387893,0.03580562659846547,0.04774083546462063
JacksonDatabind-93.json,Defects4J,0.7872957587242126,0.7849798599878947,0.7824861407279968,0.1891569048166275,1.184352993965149,0.5392953929539296,54.9683251231527,66.35157088122605,0.0,3.92132034661617,2.2241083039600142,369.0,0.06900910010111223,0.134479271991911,0.3263397371081901,0.134479271991911,0.134479271991911,0.134479271991911,0.134479271991911,0.0,8.052452036806248,0.6671842677662005,33.681480569239184,-113.21163793103443,22.629556650246304,65.38615216201423,10.365853658536585,3824.0,14.0,44.0,261.0,133.0,8.513519188489951,3141.488580552792,0.04065040650406504,0.08130081300813008,0.0,0.005420054200542005,0.005420054200542005,0.016260162601626018,0.0,0.11653116531165311,0.03523035230352303,0.0,0.0027100271002710027,0.1978319783197832,0.2899728997289973,0.008130081300813009,0.005420054200542005,0.03523035230352303,0.02981029810298103,0.4118894364776825,0.0653241756908385,0.0,0.0,0.5095785440613027,8.714285714285714,0.6280905877550443,18.642857142857142,11.0,18.614921598611396,18.320525048361986,3.5593869731800765,1.0,4.198307222231848,0.009389671361502348,14.241379310344827,6.0,19.036141579114933,0.020222446916076844,0.024014155712841254,0.11678463094034378
Math-2.json,Defects4J,0.7393597364425659,0.7341570456822714,0.7305415272712708,0.23766721785068512,1.200964331626892,0.4808259587020649,29.62056026365348,30.435084745762705,0.0,3.830752551801065,1.223032320087056,339.0,0.06979990693345742,0.0,0.07631456491391345,0.029781293624941835,0.029781293624941835,0.029781293624941835,0.0,0.030711959050721264,5.388365026168068,0.565075172111392,14.686666666666667,36.471139359698725,15.404143126177026,57.578154425612055,5.92330383480826,1493.0,9.0,52.0,236.0,162.0,0.6455613173324571,218.84528657570297,0.038348082595870206,0.035398230088495575,0.02064896755162242,0.011799410029498525,0.0058997050147492625,0.029498525073746312,0.0029498525073746312,0.11209439528023599,0.05309734513274336,0.0058997050147492625,0.02654867256637168,0.11504424778761062,0.26548672566371684,0.008849557522123894,0.02654867256637168,0.06489675516224189,0.02064896755162242,0.45667018264942416,0.06268618149787586,0.0,0.0,0.6864406779661016,8.222222222222221,0.38548471885068075,26.22222222222222,23.0,12.4702114191984,13.383793397009324,1.6991525423728813,1.0,1.661681594798936,0.0,8.055084745762711,5.0,9.535900919616896,0.010237319683573755,0.005583992554676594,0.005583992554676594
